,publishedAt,title,viewCount,수익(단위:$),광고개수,썸네일 얼굴,,,,,
1919,2019-07-16T10:53:06Z,후성 | 1등주와 2등주(동진쎄미켐)는 상한가마감 뿐만 아니라 다음 날 주가에서도 차이가 납니다 . | 갭상승과 갭하락,1891,,,,,,,,
1223,2020-03-03T07:11:15Z,넥스트사이언스 왜 장내매수했을까? 뉴스에 따른 지분확대 이유,1851,,,,,,,,
478,2020-11-09T09:13:43Z,[자율주행차] 남성은 아마존의 차량용 AI비서 '알렉사 오토'를 탑재한 인포테인먼트 기기를 세계 최초로 개발했습니다.,1847,,,,,,,,
1177,2020-03-07T05:18:11Z,증권사 총액인수 사례,1839,,,,,,,,
1688,2019-09-20T11:59:00Z,인공지능으로 주식가격예측하기 #1 데이터수집하기,1832,,,,,,,,
278,2021-01-24T14:41:32Z,셀트리온 2017년 폭풍상승 때 어떤 이슈와 재료가 있었을까?,1814,,,,,,,,
1017,2020-04-11T01:39:41Z,[뉴스]서로 반대로 배팅하는 개미들|두산솔루스하락이유|KB금융 푸르덴셜인수|해외공장셧다운|EU경기부양합의|원유감산협상|한은CP|배달의민족|자산매각,1811,,,,,,,,
1996,2019-06-08T03:18:33Z,알서포트 | 실적이 가시화되는 테마주는 2배 이상 간다! | 위닉스 사례 비교 | 5G테마주 | 원격지원시장 수혜주,1788,,,,,,,,
2020,2019-05-25T07:32:57Z,"한진칼, 제가 맞췄습니다. 역시 리노님은 매매하셨습니다!! 리노님 영상에 없는 앞시간대 매수호가창분석",1753,,,,,,,,
1432,2020-01-02T12:01:33Z,한용해 바이오사업부 박사의 영입이유는 스크리닝?,1747,,,,,,,,
1378,2020-02-03T06:40:07Z,에코프로비엠 465%라고? 2차전지와 리튬,1704,,,,,,,,
705,2020-08-03T08:46:34Z,'조폭'이 관여한 주가조작은 어떻게 이뤄지는가 #1 옵티머스와 해덕파워웨이는 판박이?,1689,,,,,,,,
1224,2020-03-03T06:49:46Z,넥스트사이언스 진양곤회장님 지분확대 공시해석,1665,,,,,,,,
2058,2019-05-10T14:06:35Z,"KEC, 고수와 중수의 호가창 매수타점의 차이. 초절정 고수의 매매. 월화수목금. 키움실전투자대회1위",1641,,,,,,,,
1104,2020-03-18T10:08:45Z,[리픽싱]CB투자불패론|하락장에 상대적 박탈감을 줍니다,1612,,,,,,,,
1507,2019-11-18T10:03:55Z,넥스트사이언스 단디바이오의 파이프라인,1605,,,,,,,,
1923,2019-07-15T11:07:53Z,후성(상한가) | 1등주와 2등주(동진쎄미켐)의 차이를 알려드립니다  | 일본수출규제 | 동진쎄미켐 | 18일 2차 수출규제 예정?,1601,,,,,,,,
1676,2019-09-22T05:01:02Z,인공지능으로 주식가격예측하기 #12 주식가격예측해보기,1586,,,,,,,,
1018,2020-04-10T12:40:49Z,[증권신고서]롯데칠성음료|톱텍이 나노마스크를 고집한 이유,1556,,,,,,,,
1820,2019-08-27T11:30:11Z,에스엔텍 |  작정하고 기업을 해쳐먹으려는 의도. 공시를 보면 알 수 있습니다.,1555,,,,,,,,
1028,2020-04-09T10:27:10Z,"[관상매매]오늘 저녁 11시 OPEC 원유감산회의가 있습니다|미국, 러시아, 사우디",1527,,,,,,,,
1376,2020-02-04T02:52:44Z,에코프로비엠 2.74조 수주 공시는 예정된 공시였다?! 다음 공시는? 리튬이온전지의 작동원리,1518,,,,,,,,
1026,2020-04-09T12:27:08Z,"[유가]푸틴, 트럼프사우디와 얘기할 계획 없다 | 원유ETN단일가매매 시행",1508,,,,,,,,
1007,2020-04-12T05:58:06Z,증권사 망하면 내 주식은 어떻게 되나요? 예금자보호법,1474,,,,,,,,
